"MOR10. Iedzîvotâju nâves cçloòi sadalîjumâ pa mçneðiem"

"Nâves cçlonis";"Gads";"uz 100 000 iedzîvotâju Janvâris";"uz 100 000 iedzîvotâju Februâris";"uz 100 000 iedzîvotâju Marts";"uz 100 000 iedzîvotâju Aprîlis";"uz 100 000 iedzîvotâju Maijs";"uz 100 000 iedzîvotâju Jûnijs";"uz 100 000 iedzîvotâju Jûlijs";"uz 100 000 iedzîvotâju Augusts";"uz 100 000 iedzîvotâju Septembris";"uz 100 000 iedzîvotâju Oktobris";"uz 100 000 iedzîvotâju Novembris";"uz 100 000 iedzîvotâju Decembris"
"Infekcijas un parazitâras slimîbas (A00-B99)";"2018";1.61;1.56;2.18;1.50;0.99;1.19;1.19;1.25;1.30;1.04;1.09;1.50
"Infekcijas un parazitâras slimîbas (A00-B99)";"2019";1.36;1.83;1.72;1.78;0.99;1.57;1.25;2.09;1.72;1.78;1.20;1.83
"Infekcijas un parazitâras slimîbas (A00-B99)";"2020";1.58;1.05;1.47;1.16;1.26;1.21;1.26;1.42;0.74;1.79;1.05;1.05
"Infekcijas un parazitâras slimîbas (A00-B99)";"2021";1.01;1.22;1.17;1.59;1.11;1.70;1.65;1.01;1.33;1.49;1.22;1.54
"Infekcijas un parazitâras slimîbas (A00-B99)";"2022";1.92;1.55;1.23;1.55;1.55;1.28;1.49;1.81;1.55;1.81;2.08;1.60
"Audzçji (C00-D48)";"2015";27.21;24.07;27.91;25.33;23.56;24.12;23.82;26.35;24.88;24.48;23.11;28.12
"Audzçji (C00-D48)";"2016";27.56;24.55;24.75;25.92;25.11;24.19;25.47;26.95;24.65;25.82;25.98;26.89
"Audzçji (C00-D48)";"2017";27.08;25.49;28.58;24.77;27.08;26.00;26.52;26.26;25.85;26.67;25.18;26.57
"Audzçji (C00-D48)";"2018";28.12;23.92;29.16;24.75;24.86;23.35;29.16;24.80;25.94;25.89;27.29;27.97
"Audzçji (C00-D48)";"2019";28.01;25.55;25.76;27.38;27.12;24.61;27.85;25.97;25.13;27.38;27.17;26.54
"Audzçji (C00-D48)";"2020";26.68;25.57;26.99;26.20;27.15;26.57;26.05;27.68;26.52;29.84;26.63;26.36
"Audzçji (C00-D48)";"2021";26.37;22.13;24.89;25.58;25.36;27.75;28.44;28.34;26.27;27.54;24.41;25.58
"Audzçji (C00-D48)";"2022";27.03;24.68;26.98;24.31;25.86;23.94;27.35;26.98;25.48;27.24;24.63;25.27
"..Ïaundabîgi audzçji (C00-C97)";"2015";26.50;23.67;27.61;24.88;22.96;23.77;23.51;25.59;24.42;24.12;22.65;27.46
"..Ïaundabîgi audzçji (C00-C97)";"2016";26.89;24.09;24.09;25.47;24.55;23.73;24.95;26.23;24.09;25.11;25.26;26.43
"..Ïaundabîgi audzçji (C00-C97)";"2017";26.62;24.92;27.75;24.15;26.46;25.64;26.05;25.74;25.28;26.00;24.30;25.38
"..Ïaundabîgi audzçji (C00-C97)";"2018";27.55;23.51;28.54;23.87;24.39;22.94;28.54;24.08;24.96;25.11;26.88;27.50
"..Ïaundabîgi audzçji (C00-C97)";"2019";27.17;24.71;24.87;26.70;26.18;23.83;27.28;25.13;24.45;26.96;26.18;26.13
"..Ïaundabîgi audzçji (C00-C97)";"2020";25.99;25.10;26.47;25.84;26.36;26.15;25.78;27.20;25.78;29.15;26.10;25.63
"..Ïaundabîgi audzçji (C00-C97)";"2021";25.90;21.49;24.41;24.83;24.83;27.12;27.86;27.86;25.31;26.90;23.88;24.83
"..Ïaundabîgi audzçji (C00-C97)";"2022";26.50;24.15;25.91;23.67;25.27;22.98;26.50;26.50;25.06;26.28;23.83;24.79
"Asins un asinsrades orgânu slimîbas un noteikti imûnsistçmas traucçjumi (D50-D89)";"2015";0.15;0.35;0.05;0.25;0.25;0.10;0;0;0.05;0;0;0.20
"Asins un asinsrades orgânu slimîbas un noteikti imûnsistçmas traucçjumi (D50-D89)";"2016";0.10;0.15;0.15;0.10;0.20;0;0.15;0;0.10;0.20;0.36;0.15
"Asins un asinsrades orgânu slimîbas un noteikti imûnsistçmas traucçjumi (D50-D89)";"2017";0.15;0.21;0.10;0.10;0.15;0.10;0.10;0.26;0.05;0.05;0.41;0.05
"Asins un asinsrades orgânu slimîbas un noteikti imûnsistçmas traucçjumi (D50-D89)";"2018";0.31;0.16;0.36;0.36;0.26;0.21;0;0.16;0.21;0.21;0.47;0.21
"Asins un asinsrades orgânu slimîbas un noteikti imûnsistçmas traucçjumi (D50-D89)";"2019";0.10;0.05;0.16;0.16;0.16;0.05;0.05;0.05;0.10;0.05;0.10;0.31
"Asins un asinsrades orgânu slimîbas un noteikti imûnsistçmas traucçjumi (D50-D89)";"2020";0.16;0.11;0.11;0.05;0.21;0.21;0.21;0.16;0.26;0.26;0.26;0.11
"Asins un asinsrades orgânu slimîbas un noteikti imûnsistçmas traucçjumi (D50-D89)";"2021";0.16;0;0.11;0.21;0.37;0.16;0.11;0.16;0;0.37;0.11;0.37
"Asins un asinsrades orgânu slimîbas un noteikti imûnsistçmas traucçjumi (D50-D89)";"2022";0.32;0.21;0.16;0.21;0.05;0.27;0;0;0.32;0.27;0.21;0.05
"Endokrînâs, uztures un vielmaiòas slimîbas (E00-E90)";"2015";2.43;1.57;2.53;2.73;2.28;2.28;2.12;1.57;1.82;2.33;1.97;1.97
"Endokrînâs, uztures un vielmaiòas slimîbas (E00-E90)";"2016";3.01;2.04;3.01;1.68;2.86;2.19;2.09;2.96;2.30;2.91;2.81;2.45
"Endokrînâs, uztures un vielmaiòas slimîbas (E00-E90)";"2017";2.78;2.68;3.30;2.16;2.78;2.99;2.01;2.27;2.47;2.47;2.63;2.73
"Endokrînâs, uztures un vielmaiòas slimîbas (E00-E90)";"2018";2.75;3.01;3.27;2.49;2.91;2.85;3.22;2.08;1.92;2.28;2.34;3.01
"Endokrînâs, uztures un vielmaiòas slimîbas (E00-E90)";"2019";4.39;2.66;3.61;2.35;3.03;2.98;2.72;2.82;2.87;3.40;3.03;2.66
"Endokrînâs, uztures un vielmaiòas slimîbas (E00-E90)";"2020";3.10;3.42;2.47;2.53;3.16;3.16;3.32;3.53;3.37;3.95;4.26;4.37
"Endokrînâs, uztures un vielmaiòas slimîbas (E00-E90)";"2021";4.46;3.66;3.24;3.56;3.45;3.24;3.82;3.18;3.02;4.88;4.09;2.97
"Endokrînâs, uztures un vielmaiòas slimîbas (E00-E90)";"2022";3.15;2.88;2.83;3.04;3.15;2.56;2.61;3.31;2.72;3.09;2.99;3.31
"Psihiski un uzvedîbas traucçjumi (F00-F99)";"2015";1.31;1.31;1.82;2.28;1.67;1.87;1.92;2.48;1.31;1.42;1.52;1.82
"Psihiski un uzvedîbas traucçjumi (F00-F99)";"2016";1.99;2.30;2.14;1.48;1.99;1.63;1.94;1.94;1.58;1.94;1.79;2.19
"Psihiski un uzvedîbas traucçjumi (F00-F99)";"2017";1.60;2.73;2.57;2.42;2.63;1.96;2.01;1.75;2.37;2.37;1.85;2.88
"Psihiski un uzvedîbas traucçjumi (F00-F99)";"2018";2.80;2.65;3.37;2.54;2.65;1.45;2.85;3.17;2.65;2.34;2.54;3.22
"Psihiski un uzvedîbas traucçjumi (F00-F99)";"2019";3.81;3.03;2.93;2.25;2.19;2.35;2.30;1.67;2.35;2.51;2.14;2.66
"Psihiski un uzvedîbas traucçjumi (F00-F99)";"2020";3.16;2.53;3.68;2.89;3.05;3.10;2.68;3.16;2.10;2.63;3.00;4.05
"Psihiski un uzvedîbas traucçjumi (F00-F99)";"2021";4.56;3.98;3.02;3.08;3.61;3.93;3.82;3.13;3.13;2.92;3.61;3.29
"Psihiski un uzvedîbas traucçjumi (F00-F99)";"2022";3.09;2.45;2.45;2.24;1.97;2.83;2.13;2.35;2.56;2.77;3.04;3.09
"..Psihiski un uzvedîbas traucçjumi alkohola lietoðanas dçï (F10)";"2015";0.76;0.30;0.96;1.21;0.56;0.81;1.06;1.01;0.61;0.71;0.56;0.61
"..Psihiski un uzvedîbas traucçjumi alkohola lietoðanas dçï (F10)";"2016";0.36;0.36;0.41;0.51;0.56;0.66;0.41;0.51;0.46;0.41;0.61;0.51
"..Psihiski un uzvedîbas traucçjumi alkohola lietoðanas dçï (F10)";"2017";0.36;0.51;0.57;0.41;0.41;0.41;0.41;0.67;0.72;0.57;0.46;1.03
"..Psihiski un uzvedîbas traucçjumi alkohola lietoðanas dçï (F10)";"2018";0.73;0.47;0.88;0.52;0.47;0.52;0.36;0.73;0.47;0.36;0.62;0.67
"..Psihiski un uzvedîbas traucçjumi alkohola lietoðanas dçï (F10)";"2019";0.78;0.26;0.42;0.57;0.47;0.42;0.21;0.26;0.26;0.26;0.26;0.42
"..Psihiski un uzvedîbas traucçjumi alkohola lietoðanas dçï (F10)";"2020";0.63;0.37;0.58;0.63;0.47;0.68;0.47;0.95;0.16;0.42;0.32;0.84
"..Psihiski un uzvedîbas traucçjumi alkohola lietoðanas dçï (F10)";"2021";1.06;0.90;0.96;1.01;1.06;1.43;1.33;0.90;1.01;0.80;0.96;1.01
"..Psihiski un uzvedîbas traucçjumi alkohola lietoðanas dçï (F10)";"2022";0.48;0.43;0.48;0.27;0.37;0.37;0.32;0.53;0.43;0.59;0.59;0.48
"Nervu sistçmas slimîbasun ausu un aizauss paugura slimîbas (G00-G99; H60-H93)";"2015";1.67;1.11;1.21;1.21;1.97;1.57;1.42;1.72;2.07;1.47;1.97;1.57
"Nervu sistçmas slimîbasun ausu un aizauss paugura slimîbas (G00-G99; H60-H93)";"2016";1.74;1.33;2.19;1.84;1.53;1.99;1.68;1.74;1.84;1.48;1.99;1.48
"Nervu sistçmas slimîbasun ausu un aizauss paugura slimîbas (G00-G99; H60-H93)";"2017";2.37;2.57;2.01;2.11;1.91;1.44;1.91;1.85;2.63;2.11;1.65;1.91
"Nervu sistçmas slimîbasun ausu un aizauss paugura slimîbas (G00-G99; H60-H93)";"2018";1.66;2.49;2.75;2.08;2.02;2.18;1.97;2.18;1.82;2.34;2.18;2.70
"Nervu sistçmas slimîbasun ausu un aizauss paugura slimîbas (G00-G99; H60-H93)";"2019";3.34;2.35;1.67;2.09;1.41;1.93;2.61;1.67;1.67;1.67;1.78;2.35
"Nervu sistçmas slimîbasun ausu un aizauss paugura slimîbas (G00-G99; H60-H93)";"2020";2.10;2.16;1.37;1.68;2.00;2.05;3.05;1.37;1.68;1.74;1.53;2.26
"Nervu sistçmas slimîbasun ausu un aizauss paugura slimîbas (G00-G99; H60-H93)";"2021";2.49;2.02;1.96;1.75;1.75;2.55;3.08;2.65;1.80;2.87;2.44;2.02
"Nervu sistçmas slimîbasun ausu un aizauss paugura slimîbas (G00-G99; H60-H93)";"2022";2.77;2.61;2.61;2.56;2.13;2.56;1.65;2.13;2.03;3.04;2.19;3.15
"Asinsrites sistçmas slimîbas (I00-I99)";"2015";81.82;71.40;74.84;69.13;67.81;63.36;64.27;59.32;57.24;69.83;65.33;71.55
"Asinsrites sistçmas slimîbas (I00-I99)";"2016";83.54;67.26;75.37;70.88;68.33;65.27;58.64;59.96;58.07;66.75;65.88;68.94
"Asinsrites sistçmas slimîbas (I00-I99)";"2017";80.99;76.30;75.58;69.66;67.71;59.72;60.55;57.82;61.27;66.47;67.34;71.67
"Asinsrites sistçmas slimîbas (I00-I99)";"2018";75.45;71.30;91.43;74.62;67.30;56.97;63.62;56.92;57.91;66.31;62.42;73.42
"Asinsrites sistçmas slimîbas (I00-I99)";"2019";82.51;67.25;69.86;65.37;64.37;57.63;61.13;54.13;61.08;65.21;60.25;75.09
"Asinsrites sistçmas slimîbas (I00-I99)";"2020";75.46;63.83;68.98;67.56;66.25;63.04;61.88;61.41;62.25;64.67;71.46;84.09
"Asinsrites sistçmas slimîbas (I00-I99)";"2021";94.14;74.72;74.13;65.85;72.75;72.80;68.35;61.08;68.98;85.49;78.32;80.82
"Asinsrites sistçmas slimîbas (I00-I99)";"2022";77.78;73.36;81.78;69.68;67.44;65.63;59.28;60.99;62.96;69.20;66.21;83.33
"..Akûts miokarda infarkts (I21-I22)";"2015";5.87;5.11;4.75;4.55;5.16;4.60;5.21;4.30;4.30;4.65;4.50;6.17
"..Akûts miokarda infarkts (I21-I22)";"2016";6.53;5.05;4.90;5.21;4.85;4.18;3.93;4.03;3.32;4.29;4.59;4.64
"..Akûts miokarda infarkts (I21-I22)";"2017";4.99;4.32;4.43;4.38;4.58;4.07;3.96;3.91;3.55;4.79;5.20;3.86
"..Akûts miokarda infarkts (I21-I22)";"2018";4.62;4.77;4.25;4.36;3.79;3.63;3.22;3.42;2.80;4.15;3.32;3.63
"..Akûts miokarda infarkts (I21-I22)";"2019";4.55;4.55;4.23;4.39;3.40;2.82;4.23;2.87;3.34;3.66;2.30;4.08
"..Akûts miokarda infarkts (I21-I22)";"2020";4.26;4.00;3.84;3.58;4.00;3.37;2.63;4.05;3.74;3.47;3.58;4.00
"..Akûts miokarda infarkts (I21-I22)";"2021";4.78;4.30;4.19;3.87;4.03;2.44;3.02;4.19;3.61;3.02;3.82;4.67
"..Akûts miokarda infarkts (I21-I22)";"2022";4.90;4.69;4.21;2.88;4.00;4.00;3.73;3.25;3.84;5.01;4.37;4.11
"..Hemorâìisks insults (I60-I62)";"2015";3.08;2.53;2.58;2.33;1.97;1.57;2.33;2.07;1.37;2.28;2.02;2.02
"..Hemorâìisks insults (I60-I62)";"2016";1.79;2.14;1.89;2.40;1.94;1.89;1.84;1.53;2.19;1.99;1.94;1.84
"..Hemorâìisks insults (I60-I62)";"2017";2.32;1.75;2.32;1.60;1.54;1.96;1.80;2.06;1.65;1.80;1.70;2.21
"..Hemorâìisks insults (I60-I62)";"2018";2.18;1.82;2.59;1.56;2.44;1.82;2.08;1.76;1.56;2.13;1.61;2.18
"..Hemorâìisks insults (I60-I62)";"2019";2.09;1.72;1.52;1.67;1.57;1.83;1.20;1.31;1.57;1.57;1.78;2.19
"..Hemorâìisks insults (I60-I62)";"2020";1.68;2.00;1.68;1.84;1.89;1.84;1.16;1.84;1.79;1.84;1.79;1.79
"..Hemorâìisks insults (I60-I62)";"2021";1.91;2.18;2.33;1.49;2.02;1.91;0.96;1.91;1.91;1.96;1.70;2.02
"..Hemorâìisks insults (I60-I62)";"2022";2.61;1.60;1.55;1.81;1.87;2.29;1.92;1.28;1.76;1.33;1.87;1.65
".. Iðçmisks insults (I63-I64)";"2015";9.51;8.50;8.95;8.70;8.80;8.24;7.18;6.83;6.32;8.34;8.50;9.05
".. Iðçmisks insults (I63-I64)";"2016";9.19;7.96;8.73;8.32;7.40;7.86;5.41;6.69;6.43;7.25;6.12;7.55
".. Iðçmisks insults (I63-I64)";"2017";8.39;8.39;7.52;6.44;8.55;6.49;7.05;6.18;6.18;6.18;6.28;8.55
".. Iðçmisks insults (I63-I64)";"2018";7.84;7.32;9.50;7.84;7.32;5.14;5.09;5.86;5.24;7.42;6.85;7.01
".. Iðçmisks insults (I63-I64)";"2019";7.94;7.21;7.73;5.85;5.17;5.59;5.80;4.18;5.96;6.69;6.27;5.96
".. Iðçmisks insults (I63-I64)";"2020";6.31;7.00;6.37;5.95;5.26;5.16;5.89;5.05;5.31;5.95;7.16;6.74
".. Iðçmisks insults (I63-I64)";"2021";8.17;5.73;6.53;5.20;6.26;5.94;5.73;4.40;6.16;7.32;6.53;6.26
".. Iðçmisks insults (I63-I64)";"2022";6.18;5.54;5.49;5.54;5.38;4.96;5.49;4.74;4.85;6.93;6.24;6.61
"Elpoðanas sistçmas slimîbas (J00-J99)";"2015";3.74;3.44;4.30;3.19;3.49;2.23;2.78;2.68;1.67;2.43;3.69;2.38
"Elpoðanas sistçmas slimîbas (J00-J99)";"2016";4.24;4.13;5.15;3.67;3.16;3.22;2.14;3.47;2.91;3.73;2.91;3.22
"Elpoðanas sistçmas slimîbas (J00-J99)";"2017";4.84;6.18;5.35;3.66;3.14;2.21;2.47;2.37;2.73;3.45;3.55;3.40
"Elpoðanas sistçmas slimîbas (J00-J99)";"2018";3.84;5.29;8.35;6.49;3.89;2.59;2.44;3.11;2.75;3.37;2.18;3.48
"Elpoðanas sistçmas slimîbas (J00-J99)";"2019";6.17;5.85;4.70;3.14;2.98;2.35;2.04;2.77;2.30;3.03;2.19;3.14
"Elpoðanas sistçmas slimîbas (J00-J99)";"2020";4.16;3.26;3.63;3.58;3.05;1.74;2.53;3.16;2.53;3.16;3.16;3.68
"Elpoðanas sistçmas slimîbas (J00-J99)";"2021";3.45;3.02;2.65;2.76;3.45;3.87;3.34;3.40;3.34;5.04;3.40;3.61
"Elpoðanas sistçmas slimîbas (J00-J99)";"2022";4.42;3.15;4.42;3.41;3.31;3.52;3.20;3.73;3.25;3.79;4.11;6.98
"..Gripa un pneimonija (J09-J18)";"2015";2.02;1.77;2.48;1.77;1.26;0.96;1.16;1.47;1.06;0.91;1.82;1.47
"..Gripa un pneimonija (J09-J18)";"2016";2.81;2.30;2.81;2.04;1.68;1.17;0.97;1.74;1.02;1.58;1.58;1.38
"..Gripa un pneimonija (J09-J18)";"2017";2.99;3.60;3.35;2.01;1.70;1.03;1.08;1.29;1.18;1.54;1.80;1.49
"..Gripa un pneimonija (J09-J18)";"2018";1.92;3.37;5.76;3.63;2.02;0.93;1.40;1.82;1.56;1.71;1.04;1.76
"..Gripa un pneimonija (J09-J18)";"2019";3.55;4.34;2.93;1.67;1.25;1.10;1.20;1.25;1.05;1.57;1.36;1.78
"..Gripa un pneimonija (J09-J18)";"2020";2.47;1.74;1.79;1.74;1.79;0.68;1.05;1.63;1.21;1.68;1.79;2.32
"..Gripa un pneimonija (J09-J18)";"2021";2.07;1.80;1.43;1.43;1.59;1.86;1.91;1.65;1.59;2.87;2.07;2.33
"..Gripa un pneimonija (J09-J18)";"2022";2.56;1.65;2.67;2.03;2.08;1.87;1.60;2.19;1.87;2.08;1.92;4.37
"Gremoðanas sistçmas slimîbas (K00-K93)";"2015";4.80;3.49;4.65;4.91;4.10;4.25;4.91;4.40;4.55;4.25;3.44;3.59
"Gremoðanas sistçmas slimîbas (K00-K93)";"2016";6.17;4.34;5.15;3.57;4.39;4.13;3.78;3.98;4.54;4.49;3.98;4.39
"Gremoðanas sistçmas slimîbas (K00-K93)";"2017";4.69;3.60;4.79;4.74;3.19;4.07;3.96;3.35;4.69;4.99;4.94;5.46
"Gremoðanas sistçmas slimîbas (K00-K93)";"2018";4.62;4.36;5.14;5.14;4.46;4.46;5.03;4.36;4.93;4.05;4.98;4.25
"Gremoðanas sistçmas slimîbas (K00-K93)";"2019";4.91;4.55;4.96;4.49;4.34;3.81;3.40;3.71;4.34;4.28;4.65;4.96
"Gremoðanas sistçmas slimîbas (K00-K93)";"2020";3.53;4.26;4.10;4.74;4.47;4.63;3.89;4.31;3.21;5.05;4.79;4.84
"Gremoðanas sistçmas slimîbas (K00-K93)";"2021";4.99;5.20;5.25;5.25;5.41;4.72;5.94;5.73;5.47;4.94;6.90;5.20
"Gremoðanas sistçmas slimîbas (K00-K93)";"2022";5.33;4.37;4.85;4.69;5.22;5.33;4.96;5.06;6.08;6.29;6.08;5.12
"Âdas un zemâdas audu slimîbas (L00-L99)";"2015";0.15;0.30;0.40;0.20;0.25;0.40;0.25;0.35;0.05;0.10;0.20;0.20
"Âdas un zemâdas audu slimîbas (L00-L99)";"2016";0.66;0.20;0.36;0.20;0.10;0.20;0.20;0.20;0.46;0.41;0.20;0.20
"Âdas un zemâdas audu slimîbas (L00-L99)";"2017";0.31;0.36;0.15;0.21;0.10;0.36;0.21;0.15;0.36;0.36;0.31;0.10
"Âdas un zemâdas audu slimîbas (L00-L99)";"2018";0.36;0.47;0.52;0.42;0.10;0.21;0.57;0.47;0.16;0.42;0.31;0.42
"Âdas un zemâdas audu slimîbas (L00-L99)";"2019";0.21;0.42;0.26;0.21;0.16;0.37;0.21;0.16;0.42;0.31;0.31;0.42
"Âdas un zemâdas audu slimîbas (L00-L99)";"2020";0.26;0.42;0.42;0.21;0.32;0.42;0.37;0.16;0.42;0.47;0.21;0.63
"Âdas un zemâdas audu slimîbas (L00-L99)";"2021";0.32;0.27;0.32;0.05;0.21;0.27;0.42;0.27;0.58;0.32;0.27;0.32
"Âdas un zemâdas audu slimîbas (L00-L99)";"2022";0.21;0.32;0.27;0.43;0.43;0.43;0.59;0.27;0.21;0.48;0.43;0.32
"Skeleta, muskuïu un saistaudu slimîbas (M00-M99)";"2015";0.20;0.51;0.56;0.66;0.35;0.20;0.15;0.40;0.20;0.20;0.66;0.56
"Skeleta, muskuïu un saistaudu slimîbas (M00-M99)";"2016";0.26;0.36;0.26;0.26;0.41;0.31;0.31;0.26;0.56;0.26;0.31;0.36
"Skeleta, muskuïu un saistaudu slimîbas (M00-M99)";"2017";0.36;0.41;0.41;0.36;0.15;0.31;0.26;0.26;0.21;0.21;0.51;0.36
"Skeleta, muskuïu un saistaudu slimîbas (M00-M99)";"2018";0.36;0.47;0.31;0.16;0.31;0.42;0.31;0.73;0.57;0.67;0.47;0.62
"Skeleta, muskuïu un saistaudu slimîbas (M00-M99)";"2019";0.42;0.37;0.52;0.73;0.42;0.47;0.47;0.63;0.47;0.47;0.89;0.52
"Skeleta, muskuïu un saistaudu slimîbas (M00-M99)";"2020";0.21;0.47;0.47;0.47;0.53;0.32;0.21;0.47;0.21;0.63;0.47;0.42
"Skeleta, muskuïu un saistaudu slimîbas (M00-M99)";"2021";0.32;0.37;0.42;0.37;0.42;0.58;0.27;0.27;0.64;0.58;0.58;0.37
"Skeleta, muskuïu un saistaudu slimîbas (M00-M99)";"2022";0.16;0.32;0.48;0.32;0.21;0.32;0.48;0.48;0.59;0.11;0.27;0.59
"Uroìenitâlâs sistçmas slimîbas (N00-N99)";"2015";1.82;1.62;1.92;1.87;1.47;1.77;1.31;1.77;1.82;1.57;1.52;1.21
"Uroìenitâlâs sistçmas slimîbas (N00-N99)";"2016";2.40;1.58;1.84;1.48;1.33;2.30;1.38;1.28;1.63;1.94;1.79;2.09
"Uroìenitâlâs sistçmas slimîbas (N00-N99)";"2017";1.70;2.21;2.27;2.11;1.65;1.54;1.80;1.60;1.80;1.54;1.49;1.80
"Uroìenitâlâs sistçmas slimîbas (N00-N99)";"2018";1.71;2.28;2.13;2.13;1.71;1.25;1.97;2.08;1.56;1.82;1.97;1.50
"Uroìenitâlâs sistçmas slimîbas (N00-N99)";"2019";3.19;1.83;2.72;1.52;1.88;1.72;1.52;1.78;1.67;1.62;2.09;2.19
"Uroìenitâlâs sistçmas slimîbas (N00-N99)";"2020";2.16;2.42;1.89;1.79;1.95;1.84;1.68;2.26;2.05;1.63;1.68;1.68
"Uroìenitâlâs sistçmas slimîbas (N00-N99)";"2021";1.91;1.65;2.07;1.91;1.27;1.65;2.18;2.44;2.65;2.12;1.86;2.23
"Uroìenitâlâs sistçmas slimîbas (N00-N99)";"2022";2.24;2.29;2.35;2.88;2.51;2.51;1.87;2.24;1.71;2.83;2.13;2.56
"Grûtniecîba, dzemdîbas un pçcdzemdîbu periods (O00-O99)";"2015";0.28;0;0.09;0;0;0.09;0.09;0.19;0.09;0;0;0.28
"Grûtniecîba, dzemdîbas un pçcdzemdîbu periods (O00-O99)";"2016";0;0;0;0;0.09;0;0;0;0.09;0;0;0
"Grûtniecîba, dzemdîbas un pçcdzemdîbu periods (O00-O99)";"2017";0;0;0;0;0;0;0;0;0;0.10;0;0
"Grûtniecîba, dzemdîbas un pçcdzemdîbu periods (O00-O99)";"2018";0;0;0;0;0;0;0.10;0.10;0;0.10;0;0
"Grûtniecîba, dzemdîbas un pçcdzemdîbu periods (O00-O99)";"2019";0;0;0;0.10;0.10;0.10;0.10;0.10;0;0;0;0
"Grûtniecîba, dzemdîbas un pçcdzemdîbu periods (O00-O99)";"2020";0;0;0;0.10;0;0;0.10;0;0.10;0;0;0
"Grûtniecîba, dzemdîbas un pçcdzemdîbu periods (O00-O99)";"2021";0;0;0;0;0.20;0;0;0;0.10;0.10;0.10;0.10
"Grûtniecîba, dzemdîbas un pçcdzemdîbu periods (O00-O99)";"2022";0;0.10;0.10;0;0;0;0;0;0.10;0;0.10;0
"Noteikti perinatâlâ perioda stâvokïi (P00-P96)";"2015";0.35;0.05;0.20;0.20;0.10;0.10;0.25;0.15;0.15;0.15;0.30;0.15
"Noteikti perinatâlâ perioda stâvokïi (P00-P96)";"2016";0.36;0.20;0.10;0.36;0.26;0.15;0.10;0.31;0.05;0.10;0.10;0.10
"Noteikti perinatâlâ perioda stâvokïi (P00-P96)";"2017";0.72;0.15;0.05;0.31;0.15;0.31;0.21;0.36;0.10;0.15;0.10;0.10
"Noteikti perinatâlâ perioda stâvokïi (P00-P96)";"2018";0.21;0.10;0.16;0.10;0;0.26;0.16;0.16;0.16;0.21;0.16;0.05
"Noteikti perinatâlâ perioda stâvokïi (P00-P96)";"2019";0.16;0.16;0.16;0;0.16;0.16;0.47;0.10;0.10;0.31;0.05;0.16
"Noteikti perinatâlâ perioda stâvokïi (P00-P96)";"2020";0.21;0.16;0.16;0.21;0.26;0.11;0.11;0;0.16;0.26;0.05;0.16
"Noteikti perinatâlâ perioda stâvokïi (P00-P96)";"2021";0.11;0.11;0.27;0.05;0.16;0.05;0.16;0.16;0.11;0.11;0;0.27
"Noteikti perinatâlâ perioda stâvokïi (P00-P96)";"2022";0.05;0;0.11;0.11;0.11;0.16;0.11;0.05;0.21;0.05;0;0.11
"Iedzimtas kroplîbas, deformâcijas un hromosomu anomâlijas (Q00-Q99)";"2015";0.25;0.10;0.15;0.10;0.20;0.25;0.20;0.30;0.25;0.51;0.15;0.15
"Iedzimtas kroplîbas, deformâcijas un hromosomu anomâlijas (Q00-Q99)";"2016";0.41;0.26;0.51;0.36;0.26;0.20;0.26;0.05;0.10;0.20;0.15;0.20
